txn_id,ts,account,amount,channel
T00149,2024-07-23T13:54:00,A0032,17144.60,atm
T00150,2024-08-19T20:10:00,A0164,3450.98,web
T00151,2024-04-05T09:07:00,A0715,12889.14,atm
T00152,2024-10-27T15:43:00,A0753,15618.49,branch
T00153,2024-12-02T19:34:00,A0781,11380.79,atm
T00154,2024-03-10T10:53:00,A0257,20332.99,atm
T00155,2024-09-12T10:17:00,A0617,20804.58,atm
T00156,2024-05-07T16:16:00,A0577,13467.23,atm
T00157,2024-10-17T14:14:00,A0063,40278.61,branch
T00158,2024-03-12T09:38:00,A0573,12047.63,web
T00159,2024-12-08T09:10:00,A0678,35802.17,app
T00160,2024-12-25T17:27:00,A0300,22206.08,web
T00161,2024-02-02T19:25:00,A0227,22192.25,app
T00162,2024-01-07T15:47:00,A0118,41379.03,branch
T00163,2024-01-17T14:34:00,A0199,23248.68,atm
T00164,2024-04-24T16:54:00,A0409,2000.50,app
T00165,2024-10-24T14:03:00,A0102,31640.46,app
T00166,2024-11-27T20:16:00,A0352,22845.85,web
T00167,2024-05-19T15:42:00,A0080,9202.57,web
T00168,2024-11-18T13:48:00,A0630,2265.33,atm
T00169,2024-05-05T20:13:00,A0162,20387.53,atm
T00170,2024-01-06T09:29:00,A0156,29674.94,web
T00171,2024-07-01T17:49:00,A0278,20382.19,branch
T00172,2024-10-19T11:43:00,A0555,20448.50,atm
T00173,2024-03-12T16:42:00,A0145,16010.95,branch
T00174,2024-11-13T14:10:00,A0624,9425.22,atm
T00175,2024-04-17T15:28:00,A0545,24946.44,app
T00176,2024-03-11T20:36:00,A0255,6459.94,atm
T00177,2024-09-03T13:25:00,A0783,40892.96,app
T00178,2024-05-25T18:49:00,A0417,8450.53,app
T00179,2024-01-28T11:39:00,A0738,1288.70,app
T00180,2024-12-03T10:41:00,A0694,8535.75,branch
T00181,2024-02-26T17:54:00,A0228,34994.74,app
T00182,2024-12-14T17:10:00,A0460,26193.35,atm
T00183,2024-02-15T17:01:00,A0631,38300.49,atm
T00184,2024-01-26T14:40:00,A0660,34025.15,atm
T00185,2024-01-26T17:16:00,A0154,30769.66,branch
T00186,2024-07-28T11:19:00,A0257,17206.97,app
T00187,2024-04-07T15:29:00,A0355,33768.27,web
T00188,2024-08-03T11:57:00,A0510,30201.90,atm
T00189,2024-12-02T15:55:00,A0562,35250.18,app
T00190,2024-09-25T18:01:00,A0378,23756.50,branch
T00191,2024-07-11T10:49:00,A0230,37613.74,app
T00192,2024-10-12T09:20:00,A0282,11870.10,branch
T00193,2024-06-24T16:38:00,A0259,11135.69,web
T00194,2024-04-13T20:16:00,A0564,15152.85,app
T00195,2024-10-19T10:49:00,A0564,4052.22,web
T00196,2024-08-23T19:23:00,A0084,32231.61,web
T00197,2024-06-26T18:35:00,A0744,38750.63,web
T00198,2024-02-25T17:15:00,A0711,25564.70,web
T00199,2024-10-24T14:36:00,A0343,17699.20,web
T00200,2024-10-13T20:42:00,A0065,39594.93,branch
T00201,2024-04-12T17:58:00,A0412,14142.43,app
T00202,2024-08-06T18:25:00,A0597,6293.91,branch
T00203,2024-05-11T11:14:00,A0483,23733.52,web
T00204,2024-08-12T19:26:00,A0147,2405.46,web
T00205,2024-06-21T14:40:00,A0791,11907.17,web
T00206,2024-03-16T14:46:00,A0422,29297.00,web
T00207,2024-08-12T19:02:00,A0700,33901.24,atm
T00208,2024-06-12T20:50:00,A0311,5292.89,atm
T00209,2024-05-27T18:51:00,A0614,23325.26,branch
T00210,2024-09-12T09:20:00,A0444,11273.59,web
T00211,2024-10-09T18:39:00,A0001,22755.37,app
T00212,2024-10-19T14:48:00,A0625,4501.66,atm
T00213,2024-03-26T20:32:00,A0063,5364.70,app
T00214,2024-06-27T19:52:00,A0303,30331.93,app
T00215,2024-05-10T11:07:00,A0275,5226.43,atm
T00216,2024-09-27T20:01:00,A0360,10068.52,branch
T00217,2024-06-01T15:34:00,A0796,22205.29,branch
T00218,2024-09-18T17:36:00,A0739,24226.98,atm
T00219,2024-12-03T20:51:00,A0787,34759.83,web
T00220,2024-10-25T17:55:00,A0148,26137.56,web
T00221,2024-12-23T15:30:00,A0177,36721.06,branch
T00222,2024-07-25T11:13:00,A0394,29489.54,atm
T00223,2024-01-22T15:39:00,A0598,40832.18,atm
T00224,2024-05-05T15:27:00,A0028,14884.54,app
T00225,2024-06-06T16:49:00,A0294,22367.35,app
T00226,2024-10-11T13:00:00,A0360,5101.82,app
T00227,2024-07-06T14:14:00,A0668,34800.12,atm
T00228,2024-03-11T19:23:00,A0115,8620.65,app
T00229,2024-08-27T17:39:00,A0455,40575.15,branch
T00230,2024-05-09T10:54:00,A0714,30105.13,branch
T00231,2024-08-09T10:05:00,A0475,26202.30,branch
T00232,2024-02-25T17:02:00,A0695,33625.96,atm
T00233,2024-06-06T20:02:00,A0429,18414.67,web
T00234,2024-03-28T11:26:00,A0112,9191.16,web
T00235,2024-09-14T09:46:00,A0666,12466.03,atm
T00236,2024-02-22T10:25:00,A0015,19059.07,app
T00237,2024-02-20T14:17:00,A0552,13877.04,app
T00238,2024-05-04T17:39:00,A0085,5656.89,app
T00239,2024-05-24T13:36:00,A0035,21700.21,atm
T00240,2024-02-13T15:29:00,A0487,21184.31,atm
T00241,2024-07-15T15:16:00,A0765,8754.12,atm
T00242,2024-07-21T11:06:00,A0028,7267.76,branch
T00243,2024-06-11T14:19:00,A0554,2275.52,app
T00244,2024-02-01T10:05:00,A0096,41214.14,branch
T00245,2024-04-06T13:42:00,A0079,9870.88,branch
T00246,2024-11-05T09:13:00,A0574,5007.47,atm
T00247,2024-05-12T10:02:00,A0309,15250.99,web
T00248,2024-08-14T20:35:00,A0244,10740.97,branch
T00249,2024-04-18T16:46:00,A0579,4761.67,atm
T00250,2024-05-25T18:11:00,A0404,9137.14,branch
T00251,2024-11-21T11:00:00,A0407,39467.95,atm
T00252,2024-07-05T14:28:00,A0220,37383.01,web
T00253,2024-03-06T17:18:00,A0408,6949.73,web
T00254,2024-06-25T14:41:00,A0055,24869.63,web
T00255,2024-08-12T11:40:00,A0454,19361.12,app
T00256,2024-01-12T11:27:00,A0643,39354.88,web
T00257,2024-01-11T09:12:00,A0020,25041.22,branch
T00258,2024-10-08T18:41:00,A0694,13036.75,app
T00259,2024-02-13T09:51:00,A0086,30075.22,atm
T00260,2024-09-26T20:44:00,A0526,36997.28,atm
T00261,2024-09-28T18:08:00,A0511,2528.41,web
T00262,2024-12-11T14:51:00,A0777,26267.62,branch
T00263,2024-09-07T16:34:00,A0122,25971.98,branch
T00264,2024-01-05T19:57:00,A0290,29906.07,atm
T00265,2024-03-05T14:28:00,A0613,31531.00,web
T00266,2024-01-27T17:12:00,A0225,17769.18,app
T00267,2024-08-01T11:44:00,A0122,27743.55,web
T00268,2024-08-04T11:55:00,A0043,29847.53,app
T00269,2024-11-24T11:27:00,A0257,7756.48,app
T00270,2024-09-23T14:51:00,A0408,1423.58,web
T00271,2024-08-21T10:04:00,A0185,4984.47,web
T00272,2024-02-15T09:22:00,A0734,28949.11,branch
T00273,2024-11-25T17:12:00,A0604,18110.54,web
T00274,2024-01-03T20:40:00,A0063,40251.32,app
T00275,2024-01-14T18:18:00,A0265,28080.48,atm
T00276,2024-05-18T10:41:00,A0488,20953.71,atm
T00277,2024-11-06T11:39:00,A0088,10160.81,web
T00278,2024-03-26T09:38:00,A0037,40172.36,branch
T00279,2024-10-19T13:59:00,A0120,25420.09,web
T00280,2024-10-10T09:48:00,A0768,14325.56,app
T00281,2024-02-27T20:07:00,A0380,19061.07,web
T00282,2024-06-07T14:41:00,A0593,27561.76,app
T00283,2024-06-22T18:25:00,A0738,23998.01,atm
T00284,2024-04-28T16:11:00,A0380,7679.07,atm
T00285,2024-05-14T10:50:00,A0389,27135.55,web
T00286,2024-01-26T20:15:00,A0220,17818.62,atm
T00287,2024-03-15T10:56:00,A0516,11260.18,web
T00288,2024-07-23T13:33:00,A0637,28387.19,atm
T00289,2024-11-07T15:33:00,A0026,13424.23,branch
T00290,2024-09-03T14:28:00,A0017,37509.18,branch
T00291,2024-07-08T09:18:00,A0138,6896.99,atm
T00292,2024-12-10T13:38:00,A0113,32181.28,web
T00293,2024-08-25T15:17:00,A0301,20510.08,branch
T00294,2024-04-19T18:32:00,A0577,37618.23,atm
T00295,2024-01-13T20:22:00,A0068,19123.39,app
T00296,2024-02-06T14:52:00,A0273,15627.59,app
T00297,2024-02-17T10:20:00,A0172,23764.33,web
T00298,2024-10-12T18:46:00,A0149,13511.53,atm
T00299,2024-09-07T18:51:00,A0399,6327.41,web
T00300,2024-12-11T20:46:00,A0292,19670.18,branch
T00301,2024-07-06T19:36:00,A0096,34163.67,atm
T00302,2024-04-22T14:46:00,A0400,1003.75,app
T00303,2024-12-20T14:35:00,A0171,16793.54,atm
T00304,2024-11-19T09:30:00,A0681,3076.28,atm
T00305,2024-05-23T17:09:00,A0538,34255.88,atm
T00306,2024-01-05T13:08:00,A0273,1112.27,web
T00307,2024-06-19T10:03:00,A0429,39627.75,web
T00308,2024-06-13T15:02:00,A0614,18669.95,app
T00309,2024-04-21T09:30:00,A0218,23763.79,app
T00310,2024-07-06T10:29:00,A0419,17290.01,app
T00311,2024-04-15T14:20:00,A0022,11654.81,app
T00312,2024-10-25T11:52:00,A0198,41774.96,web
T00313,2024-02-24T14:12:00,A0676,27209.77,branch
T00314,2024-06-17T18:04:00,A0085,606.20,app
T00315,2024-07-12T14:14:00,A0697,21233.95,atm
T00316,2024-10-21T20:28:00,A0007,7875.58,branch
T00317,2024-03-23T11:34:00,A0535,14922.35,web
T00318,2024-09-06T13:03:00,A0204,37520.63,atm
T00319,2024-07-10T16:21:00,A0212,22456.23,web
T00320,2024-06-17T19:00:00,A0448,35696.58,branch
T00321,2024-08-16T10:23:00,A0773,36628.49,atm
T00322,2024-12-26T14:34:00,A0161,34722.09,branch
T00323,2024-04-24T16:03:00,A0625,39575.94,web
T00324,2024-12-22T18:35:00,A0332,33464.80,atm
T00325,2024-11-27T10:53:00,A0376,5205.99,atm
T00326,2024-12-20T19:42:00,A0491,14283.65,atm
T00327,2024-01-05T13:50:00,A0541,2566.94,branch
T00328,2024-09-15T20:17:00,A0712,16984.06,web
T00329,2024-09-10T09:40:00,A0677,30678.75,branch
T00330,2024-08-20T10:55:00,A0392,11294.77,atm
T00331,2024-11-07T16:33:00,A0354,41531.85,web
T00332,2024-08-23T10:04:00,A0576,15694.96,web
T00333,2024-04-26T14:30:00,A0393,19140.81,atm
T00334,2024-02-20T10:08:00,A0319,6680.35,branch
T00335,2024-06-02T14:25:00,A0752,32777.22,web
T00336,2024-06-25T13:42:00,A0716,24571.00,web
T00337,2024-12-20T19:50:00,A0695,16267.99,branch
T00338,2024-12-02T11:03:00,A0503,2939.18,web
T00339,2024-03-15T09:38:00,A0660,14722.58,atm
T00340,2024-08-05T19:56:00,A0721,9167.39,branch
T00341,2024-05-13T14:49:00,A0252,30099.45,app
T00342,2024-12-11T15:23:00,A0539,18846.54,atm
T00343,2024-07-28T18:11:00,A0475,27063.70,atm
T00344,2024-10-27T10:43:00,A0104,13909.12,web
T00345,2024-09-02T11:42:00,A0475,14246.18,branch
T00346,2024-12-06T18:44:00,A0649,5257.45,app
T00347,2024-07-19T09:51:00,A0670,36454.44,app
T00348,2024-04-15T09:47:00,A0128,14015.40,atm
T00349,2024-04-21T10:15:00,A0503,8606.45,atm
T00350,2024-09-05T13:49:00,A0799,13065.51,web
T00351,2024-11-27T19:58:00,A0271,35489.02,atm
T00352,2024-11-14T19:39:00,A0757,7223.32,atm
T00353,2024-11-23T15:41:00,A0772,14322.77,atm
T00354,2024-03-12T09:36:00,A0794,18019.32,atm
T00355,2024-12-06T20:08:00,A0734,39135.68,app
T00356,2024-09-01T13:40:00,A0778,132.91,web
T00357,2024-10-26T13:18:00,A0768,26904.20,app
T00358,2024-03-24T15:16:00,A0623,38854.55,app
T00359,2024-01-04T20:38:00,A0770,4265.47,app
T00360,2024-03-03T13:22:00,A0620,5590.58,app
T00361,2024-07-13T09:55:00,A0759,19195.80,app
T00362,2024-04-22T19:27:00,A0095,7565.55,branch
T00363,2024-05-06T20:54:00,A0547,8558.21,web
T00364,2024-03-22T16:34:00,A0308,19885.07,app
T00365,2024-11-27T18:11:00,A0084,21919.48,app
T00366,2024-06-21T13:13:00,A0625,10037.35,atm
T00367,2024-05-25T15:39:00,A0295,35682.92,branch
T00368,2024-12-18T15:57:00,A0442,32616.05,atm
T00369,2024-04-15T20:46:00,A0045,5711.50,atm
T00370,2024-11-19T10:05:00,A0678,813.15,branch
T00371,2024-05-15T15:24:00,A0746,35061.39,branch
T00372,2024-12-26T15:38:00,A0101,29322.56,app
T00373,2024-06-22T17:31:00,A0220,17503.44,app
T00374,2024-06-21T16:39:00,A0710,30807.85,atm
T00375,2024-01-25T11:38:00,A0101,39532.77,app
T00376,2024-09-12T18:43:00,A0409,34318.62,branch
T00377,2024-04-01T14:23:00,A0371,16531.41,branch
T00378,2024-05-04T09:00:00,A0396,20131.97,app
T00379,2024-08-16T09:43:00,A0529,24800.47,branch
T00380,2024-06-07T16:28:00,A0424,13952.90,web
T00381,2024-09-04T20:19:00,A0800,20322.48,atm
T00382,2024-10-27T13:45:00,A0735,33056.32,app
T00383,2024-02-18T17:26:00,A0701,1202.95,web
T00384,2024-08-12T15:15:00,A0385,10470.66,app
T00385,2024-05-27T17:55:00,A0314,35908.36,web
T00386,2024-04-06T20:12:00,A0324,14980.39,branch
T00387,2024-05-03T16:07:00,A0633,20508.03,branch
T00388,2024-02-12T15:42:00,A0564,19886.34,app
T00389,2024-11-09T09:01:00,A0762,21929.87,atm
T00390,2024-09-08T18:28:00,A0514,35933.85,branch
T00391,2024-05-21T17:56:00,A0179,16298.67,web
T00392,2024-03-01T11:39:00,A0426,10230.17,app
T00393,2024-01-28T15:27:00,A0056,5575.68,web
T00394,2024-11-03T14:47:00,A0313,25477.37,atm
T00395,2024-12-23T10:50:00,A0302,9332.05,branch
T00396,2024-05-27T18:40:00,A0470,40644.06,web
T00397,2024-09-11T20:56:00,A0184,39249.91,web
T00398,2024-07-24T16:36:00,A0045,10208.97,web
T00399,2024-02-17T17:26:00,A0599,244.73,web
T00400,2024-12-03T13:30:00,A0228,37833.46,branch
T00401,2024-02-05T15:47:00,A0469,33699.44,app
T00402,2024-03-03T19:57:00,A0787,18626.94,atm
T00403,2024-09-22T19:52:00,A0131,31514.75,web
T00404,2024-11-12T13:15:00,A0617,21564.22,app
T00405,2024-09-17T10:09:00,A0232,15883.16,web
T00406,2024-06-01T14:34:00,A0020,16154.80,web
T00407,2024-10-19T09:32:00,A0060,25559.46,branch
T00408,2024-01-10T17:09:00,A0478,39838.73,branch
T00409,2024-12-24T13:50:00,A0018,32564.54,web
T00410,2024-03-10T09:19:00,A0212,1234.00,web
T00411,2024-12-20T15:53:00,A0425,27975.13,app
T00412,2024-03-23T11:59:00,A0227,41850.10,branch
T00413,2024-03-08T16:04:00,A0051,35155.12,web
T00414,2024-01-19T11:01:00,A0033,12082.27,web
T00415,2024-07-20T16:04:00,A0793,7881.69,app
T00416,2024-06-07T13:14:00,A0323,10017.64,atm
T00417,2024-06-06T09:36:00,A0303,38578.40,branch
T00418,2024-02-09T11:00:00,A0563,38376.39,atm
T00419,2024-06-03T20:03:00,A0127,17563.98,web
T00420,2024-01-03T19:57:00,A0656,20076.37,app
T00421,2024-05-25T10:00:00,A0121,19174.12,web
T00422,2024-04-20T11:20:00,A0569,32308.31,branch
T00423,2024-08-15T14:43:00,A0701,20424.31,branch
T00424,2024-01-21T16:33:00,A0124,6015.02,atm
T00425,2024-09-28T19:27:00,A0469,37402.55,atm
T00426,2024-01-03T15:28:00,A0714,2324.47,web
T00427,2024-07-09T18:21:00,A0223,33593.08,atm
T00428,2024-11-15T11:47:00,A0448,29020.95,app
T00429,2024-05-05T10:37:00,A0505,23679.69,atm
T00430,2024-10-15T15:17:00,A0443,25341.15,atm
T00431,2024-03-04T13:03:00,A0114,4659.17,app
T00432,2024-01-01T17:30:00,A0042,20826.37,atm
T00433,2024-10-07T11:07:00,A0627,22980.31,web
T00434,2024-12-01T13:30:00,A0006,2506.40,atm
T00435,2024-02-02T13:22:00,A0059,1578.25,web
T00436,2024-03-06T09:47:00,A0770,1102.62,atm
T00437,2024-03-06T18:08:00,A0542,8317.98,atm
T00438,2024-09-23T17:04:00,A0364,36104.02,atm
T00439,2024-03-03T14:25:00,A0611,40074.13,atm
T00440,2024-09-11T09:58:00,A0579,20781.31,atm
T00441,2024-12-18T13:55:00,A0192,8402.67,atm
T00442,2024-01-14T11:56:00,A0722,14278.04,app
T00443,2024-09-24T19:19:00,A0374,38050.94,atm
T00444,2024-03-03T14:57:00,A0079,28493.55,app
T00445,2024-05-15T18:29:00,A0442,19167.19,branch
T00446,2024-12-11T10:11:00,A0138,39182.18,atm
T00447,2024-09-04T10:45:00,A0415,39132.62,branch
T00448,2024-07-24T17:48:00,A0649,8886.37,branch
T00449,2024-11-25T09:46:00,A0246,15175.58,app
T00450,2024-03-03T14:41:00,A0051,40567.33,branch
T00451,2024-09-28T20:28:00,A0762,30605.34,web
T00452,2024-07-25T15:03:00,A0580,23073.75,web
T00453,2024-06-10T15:21:00,A0709,40898.60,web
T00454,2024-07-02T15:33:00,A0062,10166.63,app
T00455,2024-03-24T13:53:00,A0587,38610.62,branch
T00456,2024-04-23T09:06:00,A0410,22413.52,app
T00457,2024-06-15T19:17:00,A0361,1469.00,web
T00458,2024-02-12T10:58:00,A0369,28300.50,atm
T00459,2024-01-17T17:41:00,A0392,17571.55,web
T00460,2024-04-26T14:38:00,A0240,40175.35,web
T00461,2024-10-01T09:16:00,A0091,8657.55,branch
T00462,2024-12-05T18:48:00,A0498,38332.90,branch
T00463,2024-08-24T09:15:00,A0299,1907.57,atm
T00464,2024-09-25T16:08:00,A0510,12865.56,branch
T00465,2024-11-15T11:14:00,A0289,4820.39,atm
T00466,2024-02-25T09:12:00,A0165,27901.30,app
T00467,2024-07-09T18:27:00,A0509,2332.44,branch
T00468,2024-01-13T11:10:00,A0576,14473.27,web
T00469,2024-03-04T20:41:00,A0419,4714.67,web
T00470,2024-08-19T17:57:00,A0374,18340.75,web
T00471,2024-02-07T14:06:00,A0466,21185.16,web
T00472,2024-11-03T17:25:00,A0100,30242.84,app
T00473,2024-10-18T09:19:00,A0480,1717.03,app
T00474,2024-05-26T09:59:00,A0671,35824.22,atm
T00475,2024-09-11T09:19:00,A0286,40175.87,app
T00476,2024-09-01T17:56:00,A0414,37758.21,branch
T00477,2024-12-14T20:56:00,A0534,6100.56,web
T00478,2024-09-27T19:42:00,A0623,40916.35,web
T00479,2024-03-11T11:59:00,A0594,3474.99,web
T00480,2024-02-25T20:24:00,A0664,29330.53,web
T00481,2024-09-18T13:13:00,A0116,1596.00,app
T00482,2024-01-07T09:50:00,A0426,3009.99,app
T00483,2024-11-13T18:12:00,A0235,41169.55,atm
T00484,2024-06-22T11:29:00,A0786,34176.00,atm
T00485,2024-01-02T18:48:00,A0516,41040.09,app
T00486,2024-07-16T09:26:00,A0247,22938.13,branch
T00487,2024-09-17T15:58:00,A0286,38413.43,atm
T00488,2024-12-25T16:47:00,A0097,30944.39,web
T00489,2024-07-22T14:43:00,A0765,1862.19,branch
